year	category	text	frequency	sentiment
2004	location	iraq	2362	0.5
2004	location	afghanistan	790	0.5
2004	location	iran	613	0.5
2004	location	california	481	0.5
2004	location	new york	446	0.5
2004	location	texas	377	0.5
2004	location	middle east	341	0.5
2004	location	arizona	340	0.5
2004	location	baghdad	334	0.5
2004	location	florida	327	0.5
2004	location	wall street	319	0.5
2004	location	pakistan	271	0.5
2004	location	israel	268	0.5
2004	location	ohio	251	0.5
2004	location	china	235	0.5
2004	location	pentagon	217	0.5
2004	location	vietnam	188	0.5
2004	location	mexico	181	0.5
2004	location	georgia	178	0.5
2004	location	wisconsin	171	0.5
2004	location	web	171	0.5
2004	location	germany	168	0.5
2004	location	pennsylvania	165	0.5
2004	location	virginia	157	0.5
2004	location	dc	156	0.5
2004	location	massachusetts	155	0.5
2004	location	south carolina	150	0.5
2004	location	hollywood	138	0.5
2004	location	michigan	138	0.5
2004	location	illinois	135	0.5
2004	location	gop	134	0.5
2004	location	canada	134	0.5
2004	location	britain	127	0.5
2004	location	london	125	0.5
2004	location	capitol hill	115	0.5
2004	location	nevada	113	0.5
2004	location	alabama	112	0.5
2004	location	kansas	108	0.5
2004	location	usa	106	0.5
2004	location	france	106	0.5
2004	location	new hampshire	101	0.5
2004	location	japan	100	0.5
2004	location	india	97	0.5
2004	location	tennessee	97	0.5
2004	location	arkansas	97	0.5
2004	location	abu ghraib	90	0.5
2004	location	saudi arabia	90	0.5
2004	location	indiana	89	0.5
2004	location	missouri	88	0.5
2004	location	africa	88	0.5
2004	location	oklahoma	86	0.5
2004	location	philadelphia	84	0.5
2004	location	north carolina	80	0.5
2004	location	cuba	80	0.5
2004	location	north korea	79	0.5
2004	location	libya	78	0.5
2004	location	earth	72	0.5
2004	location	boston	64	0.5
2004	location	idaho	61	0.5
2004	location	jordan	60	0.5
2004	location	soviet union	60	0.5
2004	location	lebanon	60	0.5
2004	location	kabul	60	0.5
2004	location	utah	59	0.5
2004	location	australia	57	0.5
2004	location	manhattan	57	0.5
2004	location	oklahoma city	56	0.5
2004	location	gaza	54	0.5
2004	location	detroit	53	0.5
2004	location	fox	53	0.5
