year	category	text	frequency	sentiment
2010	location	afghanistan	462	0.5
2010	location	pakistan	367	0.5
2010	location	iraq	285	0.5
2010	location	yemen	223	0.5
2010	location	china	124	0.5
2010	location	new york	102	0.5
2010	location	middle east	96	0.5
2010	location	uk	93	0.5
2010	location	saudi arabia	92	0.5
2010	location	london	50	0.5
2010	location	britain	47	0.5
2010	location	cuba	46	0.5
2010	location	germany	44	0.5
2010	location	guantanamo bay	43	0.5
2010	location	dallas	31	0.5
2010	location	seattle	26	0.5
2010	location	denver	22	0.5
2010	location	nigeria	16	0.5
2010	location	houston	16	0.5
2010	location	dc	16	0.5
2010	location	venezuela	14	0.5
2010	location	switzerland	12	0.5
2010	location	big ben	11	0.5
2010	location	charge	9	0.5
2010	location	army	8	0.5
2010	location	st louis	7	0.5
2010	location	center	7	0.5
2010	location	dublin	7	0.5
2010	location	va	7	0.5
2010	location	jacksonville	6	0.5
2010	location	kansas city	5	0.5
2010	location	philadelphia	5	0.5
2010	location	georgetown	4	0.5
2010	location	abuja	4	0.5
2010	location	rayduhs	4	0.5
2010	location	arlington	4	0.5
2010	location	bolts	4	0.5
2010	location	northern california	3	0.5
2010	location	bears	3	0.5
2010	location	giants	3	0.5
2010	location	eagles	3	0.5
2010	location	oakland	3	0.5
2010	location	philly	3	0.5
2010	location	fed	3	0.5
2010	location	foxborough	2	0.5
2010	location	peyton	2	0.5
2010	location	new hampshire	2	0.5
2010	location	black hole	2	0.5
2010	location	hot	2	0.5
2010	location	feds	1	0.5
2010	location	arab street	1	0.5
2010	location	anbar	1	0.5
2010	location	zingermans	1	0.5
2010	location	volokh conspiracy	1	0.23665000000000003
2010	location	cardiff	1	0.5
2010	location	britian	1	0.5
2010	location	pfizer	1	0.5
2010	location	madison square garden	1	0.5
2010	location	rayvens	1	0.5
2010	location	hanover	1	0.5
2010	location	dartmouth	1	0.5
2010	location	vikes	1	0.5
2010	miscellaneous	afghan	294	0.5
2010	miscellaneous	british	116	0.5
2010	miscellaneous	islamic	95	0.5
2010	miscellaneous	chinese	88	0.5
2010	miscellaneous	yemenis	32	0.5
2010	miscellaneous	arab	30	0.5
2010	miscellaneous	irish	29	0.5
2010	miscellaneous	gitmo	27	0.5
2010	miscellaneous	constitution	22	0.5
2010	miscellaneous	continue	21	0.5
2010	miscellaneous	nigerian	16	0.5
2010	miscellaneous	swiss	12	0.5
2010	miscellaneous	christmas	11	0.5
2010	miscellaneous	pats	10	0.5
2010	miscellaneous	ravens	9	0.5
2010	miscellaneous	egyptians	9	0.5
2010	miscellaneous	feds	9	0.5
2010	miscellaneous	germans	8	0.5
2010	miscellaneous	bears	6	0.5
2010	miscellaneous	pack	6	0.5
2010	miscellaneous	director	6	0.5
2010	miscellaneous	colts	6	0.5
2010	miscellaneous	gents	6	0.5
2010	miscellaneous	iggles	5	0.5
2010	miscellaneous	giants	5	0.5
2010	miscellaneous	facebook	4	0.5
2010	miscellaneous	toobz	4	0.5
2010	miscellaneous	spaniards	4	0.5
2010	miscellaneous	chefs	4	0.5
2010	miscellaneous	titans	4	0.5
2010	miscellaneous	packers	4	0.5
2010	miscellaneous	panthers	3	0.5
2010	miscellaneous	mr obama	3	0.5
2010	miscellaneous	bengals	3	0.5
2010	miscellaneous	bolts	3	0.5
2010	miscellaneous	rams	3	0.5
2010	miscellaneous	falcons	3	0.5
2010	miscellaneous	rejkjavik	3	0.5
2010	miscellaneous	jags	2	0.5
2010	miscellaneous	vikes	2	0.5
2010	miscellaneous	jordanians	2	0.5
2010	miscellaneous	siemens	2	0.5
2010	miscellaneous	safeway	1	0.5
2010	miscellaneous	armys	1	0.5
2010	miscellaneous	nd airborne division	1	0.5
2010	miscellaneous	deadskins	1	0.5
2010	miscellaneous	rahm	1	0.5
2010	miscellaneous	eos	1	0.5
2010	miscellaneous	fbicreated	1	0.5
2010	miscellaneous	fbiinvented	1	0.5
2010	miscellaneous	huskies	1	0.5
2010	miscellaneous	walton	1	0.5
2010	miscellaneous	ceos	1	0.5
