year	category	text	frequency	sentiment
2010	location	wisconsin	151	0.5
2010	location	texas	119	0.5
2010	location	florida	105	0.5
2010	location	massachusetts	101	0.5
2010	location	new york	88	0.5
2010	location	iraq	78	0.5
2010	location	iowa	76	0.5
2010	location	afghanistan	64	0.5
2010	location	iran	60	0.5
2010	location	south carolina	50	0.5
2010	location	mississippi	50	0.5
2010	location	syria	48	0.5
2010	location	wall street	47	0.5
2010	location	alabama	47	0.5
2010	location	louisiana	47	0.5
2010	location	arizona	46	0.5
2010	location	georgia	43	0.5
2010	location	oklahoma	43	0.5
2010	location	ohio	41	0.5
2010	location	nebraska	38	0.5
2010	location	pennsylvania	36	0.5
2010	location	china	36	0.5
2010	location	middle east	35	0.5
2010	location	russia	34	0.5
2010	location	vietnam	33	0.5
2010	location	colorado	33	0.5
2010	location	dc	32	0.5
2010	location	europe	31	0.5
2010	location	chicago	30	0.5
2010	location	california	30	0.5
2010	location	pakistan	28	0.5
2010	location	ireland	27	0.5
2010	location	kentucky	26	0.5
2010	location	israel	26	0.5
2010	location	mexico	24	0.5
2010	location	utah	23	0.5
2010	location	new orleans	23	0.5
2010	location	bloomberg	21	0.5
2010	location	capitol hill	20	0.5
2010	location	madison	19	0.5
2010	location	rome	18	0.5
2010	location	nevada	17	0.5
2010	location	england	16	0.5
2010	location	north korea	16	0.5
2010	location	alaska	15	0.5
2010	location	africa	15	0.5
2010	location	germany	15	0.5
2010	location	west wing	15	0.5
2010	location	central america	14	0.5
2010	location	philadelphia	14	0.5
2010	location	hollywood	14	0.5
2010	location	illinois	14	0.5
2010	location	web	13	0.5
2010	location	pentagon	13	0.5
2010	location	india	12	0.5
2010	location	london	12	0.5
2010	location	earth	12	0.5
2010	location	maryland	12	0.5
2010	location	uk	12	0.5
2010	location	yemen	12	0.5
2010	location	baghdad	11	0.5
2010	location	esquire	11	0.5
2010	location	los angeles	11	0.5
2010	location	minnesota	10	0.5
2010	location	gulf	10	0.5
2010	location	atlantic	10	0.5
2010	location	somalia	10	0.5
2010	location	britain	10	0.5
2010	location	gop	10	0.5
2010	location	maine	8	0.5
2010	location	kansas city	8	0.5
2010	location	tehran	8	0.5
2010	location	pyongyang	8	0.5
2010	location	saudi arabia	7	0.5
2010	location	turkey	7	0.5
2010	location	spain	7	0.5
2010	location	greece	7	0.5
2010	location	lebanon	6	0.5
2010	location	times square	6	0.5
2010	location	asia	6	0.5
2010	location	kenya	6	0.5
2010	location	paris	6	0.5
2010	location	south korea	6	0.5
2010	location	beijing	6	0.5
2010	location	italy	5	0.5
2010	location	obamacare	5	0.5
2010	location	jackson	5	0.5
2010	location	gaza	5	0.5
2010	location	united kingdom	5	0.71075
2010	location	the corner	5	0.5
2010	location	harvard	5	0.5
2010	location	seoul	5	0.5
2010	location	haiti	5	0.5
2010	location	finland	4	0.5
2010	location	prague	4	0.5
2010	location	newark	4	0.5
2010	location	oval office	4	0.5
2010	location	cairo	4	0.5
2010	location	caribbean	4	0.5
2010	location	new yorker	4	0.5
2010	location	tucson	4	0.5
2010	location	delaware	4	0.5
2010	location	south vietnam	3	0.5
2010	location	peoria	3	0.5
2010	location	minneapolis	3	0.5
2010	location	cambridge	3	0.5
2010	location	mogadishu	3	0.5
2010	location	pearl harbor	3	0.5
2010	location	sweden	3	0.5
2010	location	capitol	3	0.5
2010	location	hiroshima	3	0.5
2010	location	selma	3	0.5
2010	location	nigeria	3	0.5
2010	location	mumbai	3	0.5
2010	location	montgomery	3	0.5
2010	location	hell	3	0.15960000000000002
2010	location	phoenix	3	0.5
2010	location	kabul	3	0.5
2010	location	robert	3	0.5
