source	time	person	location	organization	miscellaneous
	2016-01-13 00:00:00				
	2016-01-13 00:00:00			administration	
	2016-01-13 00:00:00				
	2016-01-13 00:00:00			state	30 percent|14|53 percent
	2016-01-13 00:00:00				two|the weeks|first|49 percent|14|2010|millions|millions|2016
	2016-01-13 00:00:00				fourth|annual
	2016-01-13 00:00:00			federal	the months
	2016-01-13 00:00:00			the politics department	last month|year|weeks|coming days|four
	2016-01-13 00:00:00				fourth|fourth
	2016-01-13 00:00:00			federal|federal	more than 600 million tons|27|two|two|more than million tons|the ton|more than billion tons|roughly 41 percent|the 1970s|decades|first|two|two|two|nearly 200
	2016-01-13 00:00:00			powerful	2014|the end of or|2014|the end of this first week
	2016-01-13 00:00:00	al			one|millions|10|two|third|last year|2008|2008
	2016-01-14 00:00:00				
	2016-01-14 00:00:00				one|2016|few months ago|two|next month|first|20 days|11|two|little more than month|second|fifth|past months|first|2016
	2016-01-14 00:00:00				three|between now and next|second|the year|first|19|second
	2016-01-14 00:00:00				2012|first
	2016-01-14 00:00:00				first|seven|one|first|2016|last summer|about 20
	2016-01-14 00:00:00				congressional|two
	2016-01-14 00:00:00				million|20|one|this month|last week|eight|70 percent|billion|this year|billion|million|2015|million
	2016-01-14 00:00:00				presidential|federal|local|about month
	2016-01-15 00:00:00	senator		congressional	annual|coming year|just months|this week|first|presidential|third
	2016-01-15 00:00:00				thousands|last month|110|more than nine|2003|thousands|each year|2003
	2016-01-15 00:00:00			new financial control board	billion|45 percent|billion|the coming five|five years|the full year 2016|billion|million
	2016-01-15 00:00:00				years|2009|2002|93|million year
	2016-01-15 00:00:00			committee|committee|committee	26|created fire storm|last year|two|tens of thousands|more than year
	2016-01-15 00:00:00				annual|one|one|step hundreds|the 1980s|first|one|2014|the past year|the ninth ward
	2016-01-15 00:00:00				20|2016|hawkish|2008|night|seven
	2016-01-15 00:00:00				million|20|one|this month|last week|eight|70 percent|billion|this year|billion|million|2015|million
	2016-01-15 00:00:00				
	2016-01-15 00:00:00				only few weeks|six|more than 30 minutes|first|one|one|two
	2016-01-15 00:00:00				half|the first three months of this year|last year|2016|2015|first quarter|11|nearly 10 percent|about fifth|almost another quarter|23 percent|2015|18 percent|the first quarter|21 percent|2015|14 percent|the first three months|two weeks|2008|more than million|last year|million|fourth|nearly million|the third quarter of last|more than million|the fourth quarter
	2016-01-15 00:00:00				45 percent|around percent|the year|nearly percent|20 percent|two
	2016-01-16 00:00:00				one year|million|millions of dollars|months|the past year|million|million|at least million|the past 30
	2016-01-16 00:00:00			presidential	first|2008|quarter|2000
	2016-01-16 00:00:00				73 percent|52 percent|12 percent|fewer than half|less than half|second|two|68 percent|50 percent|56 percent|another 21 percent|this week|half
	2016-01-17 00:00:00				almost quarter|2016|one|10|first|three|first|eight years ago|two|2008|first|thousands|one
	2016-01-17 00:00:00			state	four|two|democratic|hundreds of thousands of dollars|50 percentage points|week|two|2000|2008|2011|just hours|tonight|nine|19 million|moving debate|nine|night|first|two|11
	2016-01-19 00:00:00				
	2016-01-19 00:00:00				week|three|well over year|hundreds|one
	2016-01-19 00:00:00				
	2016-01-19 00:00:00			high court	2012|2015|2010|2014|2010|conservatives|millions|this month
	2016-01-19 00:00:00				million|tonight|annual|million|2014|2015|2014|2015|one|more than 500
	2016-01-20 00:00:00				first|the year|millions of additional dollars|the past few years|more than 350|last year|zero|this year|fiscal 2017
	2016-01-20 00:00:00				
	2016-01-20 00:00:00			congressional committee	26|last year|last month|11|first|year
	2016-01-20 00:00:00				2016|two|evangelical|26
	2016-01-20 00:00:00				first|at least four|41 percent|last year
	2016-01-20 00:00:00				
	2016-01-20 00:00:00				first|four|fifth|11
	2016-01-20 00:00:00				two|the nearly five years|million|100 percent
	2016-01-20 00:00:00				five|the weekend|eight years|2013|few days|two
	2016-01-20 00:00:00			complete	2008|2012|2014|seven|three|2014|70|35|about third|2016|2016|2015 year
	2016-01-21 00:00:00				the hundreds of millions of dollars|annually|million|only one
	2016-01-21 00:00:00				130|up to 90 days|38|38|four|2015
	2016-01-21 00:00:00				four years|last summer|an estimated billion|billion|2012|fiscal year|billion|three years
	2016-01-21 00:00:00			billion hedge fund	annual|first|more than 30
	2016-01-21 00:00:00				next week
	2016-01-21 00:00:00			ally	one|2014|more than million|31|eight|one|this month|25|trillion year|million|more than million legal hours|20|5th|about 30|2003
	2016-01-21 00:00:00			journal	millions|26|2014|last year|second|conservatives
